crop,state,season,crop_year,area_ha,rainfall_mm,yield_t_ha
Rice,Karnataka,Kharif,2016,2.93,1147.6,3.02
Rice,Karnataka,Rabi,2016,7.25,538.3,2.33
Rice,Punjab,Kharif,2016,2.53,995.3,3.57
Rice,Punjab,Rabi,2016,5.55,299.4,2.8
Rice,Maharashtra,Kharif,2016,6.67,854.3,2.66
Rice,Maharashtra,Rabi,2016,3.38,549.1,2.24
Rice,Uttar Pradesh,Kharif,2016,1.65,1370.0,3.18
Rice,Uttar Pradesh,Rabi,2016,6.65,501.9,2.7
Rice,Tamil Nadu,Kharif,2016,3.65,1075.4,3.41
Rice,Tamil Nadu,Rabi,2016,7.03,509.3,2.71
Wheat,Karnataka,Kharif,2016,2.6,1193.2,3.1
Wheat,Karnataka,Rabi,2016,1.71,316.4,3.65
Wheat,Punjab,Kharif,2016,3.59,1145.0,3.5
Wheat,Punjab,Rabi,2016,5.54,668.3,4.64
Wheat,Maharashtra,Kharif,2016,2.14,819.8,2.86
Wheat,Maharashtra,Rabi,2016,4.9,520.0,3.81
Wheat,Uttar Pradesh,Kharif,2016,2.6,1290.0,3.15
Wheat,Uttar Pradesh,Rabi,2016,2.48,333.9,4.27
Wheat,Tamil Nadu,Kharif,2016,5.59,1313.5,3.46
Wheat,Tamil Nadu,Rabi,2016,2.85,429.4,3.98
Maize,Karnataka,Kharif,2016,5.09,1093.0,3.74
Maize,Karnataka,Rabi,2016,7.98,309.7,2.83
Maize,Punjab,Kharif,2016,1.77,763.6,3.96
Maize,Punjab,Rabi,2016,1.44,411.1,3.23
Maize,Maharashtra,Kharif,2016,7.8,1397.3,3.66
Maize,Maharashtra,Rabi,2016,5.77,560.4,2.79
Maize,Uttar Pradesh,Kharif,2016,1.78,886.8,3.56
Maize,Uttar Pradesh,Rabi,2016,7.13,676.9,2.99
Maize,Tamil Nadu,Kharif,2016,7.39,1050.4,4.0
Maize,Tamil Nadu,Rabi,2016,5.26,519.5,2.96
Cotton,Karnataka,Kharif,2016,6.45,1233.8,0.64
Cotton,Karnataka,Rabi,2016,1.14,362.1,0.49
Cotton,Punjab,Kharif,2016,3.15,1315.1,0.69
Cotton,Punjab,Rabi,2016,1.6,673.5,0.55
Cotton,Maharashtra,Kharif,2016,6.36,748.4,0.54
Cotton,Maharashtra,Rabi,2016,2.86,474.9,0.47
Cotton,Uttar Pradesh,Kharif,2016,4.78,996.2,0.67
Cotton,Uttar Pradesh,Rabi,2016,7.97,355.9,0.49
Cotton,Tamil Nadu,Kharif,2016,1.85,1006.7,0.64
Cotton,Tamil Nadu,Rabi,2016,2.61,494.2,0.48
Sugarcane,Karnataka,Kharif,2016,2.6,749.7,77.71
